name;base_fond;science_fond;ams;n_buildings;n_days;guests;employees
Музей быта и ремесел п.Висим;1360;955;0;1;253;6.7;7
Шумихинский историко-краеведческий музей;5821;1481;0;1;247;5;2
Ромодановский ист.-краеведческий музей;849;187;0;85;247;2;1
Сосновский районный краеведческий музей;4358;1145;0;1;260;4.1;5
Вознесенский историко-краеведческий музей;4057;745;0;1;308;11;6
Называевский ист.-краеведческий музей;5809;1869;4102;2;298;12.6;8
"Гос.музей-заповедник ""Ленино-Кокушкино""";2638;76;677;5;353;7.7;11
Мемориальный музей К.А.Васильева;1042;795;0;1;245;0.5;3
Музей Циолковского,авиации,космонавтики;6725;4320;425;1;247;21.2;9
Вятский палеонтологический музей;952;1789;761;1;315;25.4;13
Пронский краеведческий музей;2573;322;601;1;294;3.4;8
Костромской гос. историко-архитектурный и художественный музей-заповедник;296768;106622;147199;7;364;65.6;197
"Гос.музей-заповедник ""Казанский Кремль""";5845;12372;18217;48;365;2774.1;405
Мем.дом-музей Ленина в Казани;1024;0;0;1;311;22.7;15
Костромская художественная галерея;1633;511;2141;2;300;45.2;14
Музей природы Костромской области;1800;2000;3800;1;364;59.5;30
"Музей-заповедник ""Костромская слобода""";2847;648;2990;30;365;116.1;53
Музей г.Северска;128427;14815;123067;2;247;79.3;40
Музей Г.Сулейманова с.Туркменово;753;179;69;1;230;1;1
Петровск-Забайкальский краеведческий музей;2140;2417;21;1;255;3.2;3
Чернышевский краеведческий музей;6062;117;310;1;244;2.8;4
Художественно-историческое объединение г.Северобайкальск;3156;4894;1300;1;246;9.4;10
Краеведческий музей в с.Губден;1925;490;0;1;300;4;4
Чегемский историко-краеведческий музей;280;547;0;1;245;3.3;4
Тырныаузский ист.-краеведческий музей;1957;1630;250;3;235;11.1;10
Баксанский историко-краеведческий музей;488;0;0;1;269;5.7;2
Музей истории ст-цы Екатериноградской;4049;454;0;1;220;5.6;1
Музей станицы Котляревской;11030;1760;0;2;340;4.3;2
Музей экологии и охраны природы г.Набережные Челны;10307;390;0;1;247;12.6;4
Атнинский районный краеведческий музей;1386;146;1000;1;276;0.8;6
Музей истории Сабинского лесного хоз-ва;641;351;641;1;300;2.3;3
Черемшанский ист.-краеведческий музей;2061;1005;170;1;245;4.2;9
Музей истории села Табарле;1499;110;0;1;245;1.4;1
"Омский гос.худож. музей ""Либеров-центр""";3439;448;3887;1;362;75;42
Музей Сибгата Хакима;2491;873;0;1;269;2.2;1
Саргатский историко-краеведческий музей;2751;3930;2070;1;250;6.4;4
Любинский историко-краеведческий музей;6163;380;3500;1;247;16.2;8
Ист.-краеведческий музей ст-ца Ясенская;14441;3444;0;4;298;12.7;14
Новокубанский краеведческий музей;5911;3411;0;1;247;9.4;5
Музей ст-цы Бриньковской им.Бахчиванджи;1324;1452;0;1;260;3;3
Новомихайловск.музей боевой и труд.славы;716;1036;0;1;277;1.4;2
Лит.-краеведческий музей К.Бальмонта;29397;11195;130;1;310;13.2;13
Большемуртинский краеведческий музей;1910;875;180;1;249;4.8;3
Улетовский районный краеведческий музей;4526;3340;4800;1;247;4.7;2
Краеведческий музей Кантемировского р-на;1325;436;0;72;251;3;2
Историко-краеведческий музей Третьяковского района;1605;75;0;1;287;2.2;3
Солонешенский краеведческий музей;1520;923;0;1;280;5.2;2
Пермский музей современного искусства;562;724;1286;8;215;46;94
Ист.-краеведческий музей обороны Туапсе;2677;5002;0;1;255;6.3;6
Дом-музей И.С.Соколова-Микитова;319;174;0;1;247;0.5;2
Кэнтикский ист.-этнографический музей;557;327;0;1;249;4.4;1
Лит.музей нар.писат.братьев Даниловых;5052;0;0;1;247;3.9;4
Краеведческий музей им.Героя Ф.М.Охлопкова;5650;0;1500;5;254;2;4
Березовский этнографический музей;1825;57;0;1;232;0.7;1
Этнографический комплекс в с.Оюсардах;13441;8072;0;15;250;3.9;3
Лит.компл.им.В.А.Протодьяконова-Кулантая;5457;7807;3924;4;247;3.3;12
Когалымский музейно-выставочный центр;5918;3651;9569;1;267;12.4;27
Музей истории г.Урая;25435;1648;27083;1;335;5.1;13
Музей истории и ремесел Советского района;24523;6462;30985;2;286;5.7;26
Нижневарт.краеведческий музей им.Шуваева;21964;15654;24436;11;247;11.5;41
Учинский этнографич.музей, п.Половинка;5288;3114;7561;4;277;3;10
Верхнесергинский краеведческий музей;5715;662;0;2;253;4;6
Дегтярский историко-производственный музей;560;210;0;1;244;4.2;1
"Екатеринбургский музейный центр народного творчества ""Гамаюн";1343;306;1343;1;331;20;18
Музей родного края им.В.И.Абрамова;14226;6700;3634;1;300;4.6;7
Музей нар.поэта Чувашии П.П.Хузангая;356;294;0;1;309;4;5
Мемориальный музей Фатиха Карими;895;1117;10;1;269;9.1;2
Моск.лит.музей-центр К.Паустовского;17445;5328;5268;3;302;27.5;18
"Культ.центр ""Дом-музей Марины Цветаевой""";40768;8151;27886;2;189;41.4;41
МГСША Сергея Андрияки с муз.-выст.компл.;546;30;546;1;255;14.1;18
Ефремовский дом-музей И.А.Бунина;210;359;150;1;305;5.4;7
Апастовский краеведческий музей;4196;4900;88;1;245;6.2;8
Музей Фахри Насретдинова и Бану Валиевой;3089;830;0;1;245;1.2;1
Кондинский краеведческий музей;11805;4980;16665;1;337;2.2;10
Лянторский хантыйский этнографич.музей;9601;1141;10401;2;306;7.2;46
Шурышкарский краев.муз.комплекс, с.Мужи;34045;21793;55838;1;298;11.6;16
Музей истории села Иж-Бобья;1801;0;0;1;245;4.1;3
Музей истории села Большие Елги;1420;433;82;1;194;1.5;1
"Арский историко-этнографический музей ""Казан арты""";10958;2657;702;2;286;7.7;16
Музей истории Рыбинского района;6178;1337;2029;1;305;4.4;8
Кочевский музей этнографии и быта;1471;578;2049;1;249;2.5;7
Зеленоградский краеведческий музей;994;241;1235;1;251;4.5;10
Виноградовский исторический музей;9561;506;0;1;279;3.2;6
Гос.Северный морской музей;16836;9540;5652;1;293;43.3;22
"Музей-заповедник ""Пустозерск""";3632;8500;740;9;288;3.6;19
Верхнетоемский краеведческий музей;22446;9351;108;5;253;9.6;12
"Муз.-мем.комплекс ""История танка Т-34""";847;1061;847;1;305;27.3;30
Ликино-Дулевский краеведческий музей;12565;10668;1446;1;247;6.6;6
Музей истории города Бронницы;38057;8404;1538;1;294;6.5;18
Историко-краеведческий музей г.Протвино;2765;10340;0;1;229;10.9;4
Ист.-музыкальный музей им.Верстовского;2382;611;0;1;223;3.2;4
Урюпинский историко-краеведческий музей;235;570;515;1;247;2.1;7
Светлоярский ист.-краеведческий музей;1090;1397;1090;2;245;8.8;4
Новоаннинский ист.-краеведческий музей;1732;729;0;1;251;10.8;3
Краеведческий музей им.Таврата,Колымское;1397;1634;0;1;245;1.5;1
Музей-квартира С.Н.Курилова;864;0;0;1;245;1.2;1
Атяшевский краеведческий музей;614;2903;440;1;250;4.7;3
Музей истории и культуры Гурьевского района;425;70;140;1;251;3.2;1
Эвенский районный краеведческий музей;5307;622;0;1;247;1.5;4
Кадуйский районный музей им.А.Г.Юкова;1788;1407;526;1;247;5.6;4
Междуреченский худож-краеведческий музей;3652;828;2794;1;300;3.1;4
Воротынский краеведческий музей;1480;0;0;2;295;3.2;2
Музей Ленингр.блокадного детск.дома N26;740;258;271;1;331;1.4;3
Вожегодский районный краеведческий музей;3702;306;2777;2;270;4.6;5
Сивинский районный краеведческий музей;4669;1761;2478;1;250;12.4;10
Музей истории города Йошкар-Олы;15865;7653;2874;5;360;35.8;33
Кумухский краеведческий музей;1295;1248;0;1;300;6.5;7
"Этногр.музей-парк ""Найотыр Маа"",Сосьва";1619;766;825;1;247;1.4;2
Шахунский народный фольклорно-этнографический музей;6549;3909;0;1;303;5.5;6
Вахтанский историко-природный музей;537;1740;268;1;300;2.2;4
Гофицкий историко-краеведче��кий музей;6537;1040;0;1;274;1.7;8
Новокумский филиал;112;1218;1330;1;310;4.7;7
Жуковский районный музей краеведения;2238;628;600;1;247;4;4
Новонукутский районный краеведческий музей;1105;999;0;1;231;2.8;3
Литературно-мемориальный музей М.Гафури;411;141;40;1;250;3.3;2
Татышлинский ист.-краеведческий музей;1084;43;700;1;254;4.4;4
Историко-культурный музей им.Бирюковых;226;173;249;2;302;0.6;1
Интерактивный музей ювелирного искусства;175;49;0;1;313;2.8;7
Тесинский художественный музей;698;278;200;1;268;6.1;3
Дзержинский районный краеведческий музей им.А.С.Чупрова;4102;568;830;2;301;1.2;4
Уренский МВК им.В.Ф.Мамонтова;5034;1924;0;1;305;7;4
"Музей-заповедник ""Сулеки""";50;0;0;4;360;8;5
Баяндаевский этнографический музей;326;279;0;3;247;2.7;3
Музей им.Ф.А.Щербины;7669;253;0;1;250;2;3
Ардатовский краеведческий музей;980;0;0;1;248;1.5;12
Спасский народный исторический музей;2224;141;20;1;300;6.2;3
Гагинский краеведческий музей;2440;211;0;1;292;4.3;5
Музей алтайского сказителя Н.У.Улагашева  в с.Паспаул;444;251;0;5;247;0.2;6
Долгопрудненский историко-художественный музей;6562;427;0;2;355;8.7;16
"Павлово-Посадский выставочный зал ""Дом Широкова""";113;30;0;1;306;9.9;14
Электростальский музейно-выст.центр;7206;5034;4043;3;262;21.6;33
Балашихинская картинная галерея;4078;1809;3125;3;305;24.7;14
Балашихинский ист.-краеведческий музей;11963;4974;2753;2;329;18.2;9
Ивантеевский ист.-краеведческий музей;19395;6557;0;1;338;14.8;5
Химкинская картинная галерея;14421;2484;5224;1;247;21.5;11
Краеведческий музей г.Железнодорожного;4587;4383;180;3;292;18.5;12
Лыткаринский ист.-краеведческий музей;21817;11322;5042;2;238;3;28
"Музейно-выставочный центр ""Путевой дворец""";7417;7145;3562;1;250;12.3;27
Климовский историко-краеведческий музей;4758;2091;2546;1;246;21.9;8
Какашуринский краеведческий музей;2879;2357;0;1;300;8;6
Музей истории г.ЗаозерногоРыбинского р-на;3443;652;2625;1;300;3.2;10
Гор.исторический музей г.Горячий Ключ;5427;1775;400;1;362;8.2;16
Починковский ист.-краеведческий музей;3048;901;2100;1;242;3;3
"Музей ВОВ 1941-1945 годов ""Память""";5331;3234;5113;1;304;18.6;8
Минераловодский краеведческий музей;16337;4419;2871;2;247;3.6;6
Глазовский ист.-краеведч.муз.комплекс;3813;1404;0;2;295;8.2;5
Завьяловский музей истории и культуры;2133;1656;0;1;297;2.3;12
Ист.-культ.музейный комплекс в Разливе;1499;528;1273;7;300;73.7;33
Троицкий районный краеведческий музей;6246;1255;0;3;290;2.7;4
Родинский музей истории и изоискусства;6891;1406;0;2;294;5.8;5
Курьинский краеведческий музей;2912;499;0;1;260;4.9;1
Якутский гос.музей истор. и культ.Севера;74731;23024;5763;3;247;38;99
Мемориальный дом-музей Ахияра Хакимова;1662;1363;0;1;249;2.4;1
Багратионовский музей истории края;5314;1759;600;1;309;5.4;7
Музей истории города Улан-Удэ;3752;2568;50;1;350;8.9;12
Кореновский историко-краеведческий музей;12591;6827;0;1;297;12.6;8
Апшеронский историко-краеведческий музей;3757;494;0;1;321;6.1;8
Центр изуч.истории,культуры Демянск.р-на;1180;3015;710;1;247;4;9
Окуловский районный краеведческий музей;1674;926;0;1;285;3.5;6
Музей истории п.Бисерть;43;1553;0;1;256;4.4;3
Историко-этнографический музей Благоварского района;722;851;1573;1;253;2.1;2
Тюнгюлюнский музей истории и этнографии;1354;830;0;1;249;1.7;1
Новолялинский краеведческий музей;2730;578;0;1;255;2.7;2
Музей им.Павлика Морозова;1857;859;0;7;247;1.7;2
Михайловский краеведческий музей;11175;8259;1200;2;249;6.5;6
Гулькевичский ист.-краеведческий музей;3775;1323;0;1;310;13.6;10
Музей города Белореченска;7273;1179;450;1;317;12.7;10
Вачский историко-краеведческий музей;1279;2359;0;1;249;4.5;4
Краснобаковский исторический музей;6708;2288;5000;2;270;3.6;6
Пильнинский районный краеведческий музей;2095;719;0;1;291;8.1;4
Саровский городской музей;21800;1137;2330;3;247;42.7;38
Шарангский народный краеведческий музей;5576;2216;0;1;307;4.8;4
Шатковский историко-краеведческий музей;1064;235;0;3;247;5;11
Емецкий краеведческий музей;7833;3155;0;1;312;1.8;2
Национальный музей Удорского района с.Кослан;3629;503;201;2;289;6;4
Уренгойский краеведческий музей;2189;403;2592;1;291;9.6;4
Козловский дом-музей Н.И.Лобачевского;2785;0;750;1;262;7.3;4
Моргаушский музей верховых чувашей;4692;2488;5328;3;257;9.9;5
Московский музей современного искусства;7438;1464;8902;17;352;376.1;390
Дубровский районный краеведческий музей;1250;47;0;1;247;5;2
"Музей Погарского района ""Радогощ""";11586;1502;0;1;328;9.5;4
Хайбуллинский ист.-краеведческий музей;7222;1385;34;1;247;10.3;4
Музей М.Сагитова, с.Старосубхангулово;315;255;0;1;247;1.4;1
Историко-краеведческий музей им.Г.Альмухаметова;1125;685;0;1;195;1.6;1
Дом-музей В.И.Ленина;6530;668;319;1;246;2.9;11
Туембетовский музей им.З.Биишевой;521;172;0;1;263;2.3;1
Юматовский этнографический музей;5962;2007;7951;1;247;13.8;2
Краснокамский ист.-краеведческий музей;4992;6127;11000;1;244;10.8;5
Калтасинский ист.-краеведческий музей;1891;1147;644;1;259;5.6;5
Уфимский районный музей боевой и трудовой славы;43;1682;0;1;272;13.8;2
Мартыновский район. краеведческий музей;3353;1475;1912;1;300;3.2;5
Семикаракорский ист-краеведческий музей;14375;3301;3893;3;252;5.9;16
Донецкий историко-краеведческий музей;4640;1052;4640;2;361;8.6;7
"Музей ""Набат памяти"" г.Можги";5300;501;0;1;247;4.1;6
Половинский районный краеведческий музей;2146;403;0;1;244;2.7;2
Макушинский краеведческий музей;3750;426;0;1;255;7.1;2
Лебяжьевский ист.-краеведческий музей;7987;1467;0;1;247;13.5;5
Сафакулевский ист.-краеведческий музей;1589;168;0;1;250;5.5;1
"Московский гос.музей ""Дом Бурганова""";646;179;646;3;363;22;17
Соболевский ист.-краеведческий музей;511;4813;511;1;299;0.3;8
Малоярославецкий музейно-выст.центр;13828;127;0;1;281;12.1;12
"Музей-заповедник ""Полотняный Завод""";739;321;82;3;247;80.8;14
"Мемориальный комплекс ""Медное""";790;699;1489;6;276;14.6;27
"Мемориальный комплекс ""Катынь""";479;407;886;5;365;85.8;33
С-Пб гос.музей-институт семьи Рерихов;9690;7384;17074;1;264;14.1;54
Белоколодезский музей истории села;3041;981;4022;1;303;1.3;2
Хотмыжский филиал;514;211;67;1;247;0.9;1
Верхопенский филиал;4318;392;4065;1;250;3.6;3
Нейво-Шайтанский историко-краеведческий музей;1310;4658;0;1;247;2.2;3
Волчанский краеведческий музей;8733;488;576;1;268;6.5;5
Заречный краеведческий музей;4834;2847;601;1;247;7.5;6
Мартюшский музей истории сельской культуры;4323;1535;0;1;184;2;1
Томаринский краеведческий музей;698;0;698;1;250;0.8;1
Акбулакский историко-краеведческий музей;2244;4159;250;6;248;4.6;5
Краеведческий музей Соль-Илецкого района;3625;1308;1530;2;26;16.2;10
Чиркатинский краеведческий музей;1780;490;0;1;300;1.7;6
Гимринский краеведческий музей;1020;800;0;1;300;2.6;5
Музей Михаила Сеспеля дер.Сеспель;304;478;0;1;247;1.8;2
"АУ ""Краеведческий музей Уватского муниципального района ""Легенды седого Иртыша""";4689;3004;7300;1;308;14.1;6
"Гор.муз.комплекс ""Наследие""(Экомузей)";9214;1952;5188;2;282;3.8;13
Самарская детская картинная галерея;21277;6193;16049;6;326;31;77
Ист.-краеведческий музей им.Н.П.Попова;5588;1209;3981;3;257;6.4;7
Приуральский краев.музей, с.Аксарка;6421;1579;8000;1;247;5.4;17
Русскинской музей природы и человека;4923;1722;6007;2;360;17.8;14
Нефтеюганский ист.- худож.муз.комплекс;23154;17967;40489;5;263;31.3;44
Сургутский художественный музей;8068;12302;20370;1;256;6.4;28
"МАУК ЗГО ""Заводоуковский краеведческий музей""";6421;5950;12371;1;303;51.1;8
Кумертауский ист.-краеведческий музей;3783;7794;622;1;297;14.8;7
Буздякский историко-краеведческий музей;2044;173;765;1;198;0.8;1
Кушнаренковский ист.-краеведческий музей;6127;397;5534;1;286;7.2;3
Новоселицкий ист.-краеведческий музей;2007;710;807;1;241;5;3
Новопокровск.ист-лит.музей им.Первенцева;4011;2355;0;2;290;7.8;6
Кабанский краеведческий музей им.М.А.Лукьянова;990;1621;0;1;252;6.5;3
Дом-музей Т.Г.Соломаха;1657;571;0;1;247;2.6;3
Ист-краеведческий музей Павловского р-на;1321;1698;0;1;271;1.6;3
Большетиганский краеведческий музей  им.Салиха Баттала;1437;1341;520;1;262;1.6;2
Музей Героя Сов.Союза П.М.Гаврилова;63;0;0;1;264;1.5;3
"Музей-заповедник  ""Сундуки""";30;0;0;4;365;23.9;5
Дом-музей С.П.Кадышева;197;71;268;1;256;0.9;1
Гос. мемориальный музей А.А.Кадырова с.Курчалой;245;308;0;1;247;16.7;25
Краеведческий музей им.Х.А.Исаева;512;54;0;8;365;15.9;28
Краеведческий нар.музей им.В.Толстова-Атнарского;4144;910;395;2;300;3.7;4
Музейно-туристический центр г.Чебоксары;12752;6186;11725;1;247;1.7;14
Новоселовский исторический музей;5922;528;3870;1;290;2.5;2
Музей русского лубка и наивного искусства;4677;147;2949;3;256;55.7;22
Мемориал жертв политических репрессий (1944-1957 гг.);5099;2349;6252;1;247;129;8
Жердевский народный краеведческий музей;2610;510;0;1;260;5.4;3
Музей истории Петровского района;6448;1880;0;2;248;4;2
Кесовогорский краеведческий музей;1957;0;0;1;245;2;4
Егорлыкский историко-краеведческий музей;3134;711;1350;1;248;3.3;4
Морозовский краеведческий музей;1129;281;1129;1;295;8.1;3
Красновишерский краеведческий музей;3045;4861;948;3;312;9.6;6
Краеведческий музей села Частая Дубрава;5068;3515;2770;1;207;4.5;1
Музей Фатиха Карима;223;443;40;1;183;2.6;1
Салаватский историко-краеведческий музей;3550;4255;0;1;244;11;19
Музей-усадьба И.К.Калашникова;475;49;0;2;219;2.4;1
Анабарский этно-краеведческий музей;3320;1216;0;1;247;1.3;3
Дом-музей В.М.Васильева;216;10;226;1;250;1.2;1
Музей Г.Ибрагимова;2494;170;4;1;118;6.4;1
Музей Калининского фронта;528;570;528;1;247;25.6;14
Иглинский историко-краеведческий музей;1355;133;273;1;229;6.5;1
Гафурийский историко-краеведческий музей;4733;427;0;1;148;0.9;1
Рег.ист.-культ. и эколог.центр, Мегион;12894;5463;18357;2;365;17.4;41
Покачевский краеведческий музей;4370;2230;6600;2;300;3.1;6
Шеркальский этнографический музей;2069;294;2160;1;260;2.8;2
Октябрьский музейно-выставочный центр;7709;1540;8814;1;306;9.7;9
"Музей-заповедник ""Этнографический комплекс ""Дагестанский аул""";912;0;184;2;310;8.3;34
Волоконовский краеведческий музей;741;582;0;1;247;13.7;6
Тульский историко-архитектурный музей;8751;945;7438;4;264;6.1;36
Красногорский краеведческий музей;1599;526;0;1;260;3.8;4
Малопургинский краеведческий музей;1389;354;0;1;247;2;3
Музейно-выст.комплекс им.М.Т.Калашникова;11438;6051;17489;1;311;139.7;79
Кезский районный краеведческий музей;2810;1544;0;1;247;2.8;4
Бирилюсский краеведческий музей;3575;1890;1500;1;290;6.5;5
Музей истории соли;677;129;0;10;295;15.1;18
"Батыревский ист.-этнографический музей ""Хлеб""";9171;1262;0;3;247;4.8;3
Калининградский обл.музей янтаря;16217;1401;17616;4;335;227.8;67
Альметьевский краеведческий музей;3847;4441;1039;1;251;33.5;20
Липецкий областной музей природы;477;462;889;1;350;5.8;24
Тонкинский народный краеведческий музей;4345;855;0;1;291;5.9;8
Сямженский районный краеведческий музей;3545;1465;1500;1;276;4.8;3
Зиминский ист.-краеведческий музей с.Кимильтей;4854;3568;0;1;240;3.6;3
Вологодский районный  краеведческий музей с.Кубенское;4187;3153;6500;1;249;6.4;5
"Тарбагатайский народный музей ""Семейская старина""";560;215;0;1;141;2.6;1
Окинский историко-краеведческий музей;558;58;0;1;125;3;1
Харовский историко-художественный музей;7029;1984;2199;1;254;3.4;6
Верхнедонский ист.-краеведческий музей;1371;620;1371;1;287;2.1;3
ЦМС Нагайбакского муниципального района;6028;4018;4696;4;247;7.2;13
Новопавловский ист.-краеведческий музей;2270;111;1668;1;249;4.5;4
Народный музей села Сухая Буйвола;1796;131;354;1;247;3.9;5
Северо-Кавказский ф-л музея Востока;3792;6414;1300;2;311;31.9;37
Этнограф.парк-музей откр.небом,Варьеган;801;699;1500;2;280;13.4;7
Лангепасский музейно-выставочный центр;10207;1593;11800;1;346;23.4;12
Х-Мансийский музей геологии,нефти,газа;17648;18347;34411;1;247;41.2;51
Музейно-культурный центр, Нягань;15700;2217;17917;2;260;17.8;20
Этно-культурный центр Белоярского района;5009;1707;6716;3;358;17.6;17
Литературный музей им.Д.Н.Апросимова;810;0;0;2;202;1.4;3
Эвено-Бытантайский этнографический музей;2713;1;0;1;260;3.8;4
Алеко-Кельский краеведческий музей;3681;500;0;1;246;0.9;1
Лабытнангский гор.краеведческий музей;7181;2474;9655;1;298;16.3;15
Губкинский музей освоения Севера;14471;4829;19300;1;289;22;15
Красноселькупский краеведческий музей;9659;2568;12227;1;247;3.6;10
"Эколого-метод.центр ""Дом природы"",Надым";2817;605;3422;1;291;11.4;16
Брюховецкий историко-краеведческий музей;4516;7830;0;1;304;11.2;6
Приморско-Ахтарский ист.-краеведч.музей;5217;925;0;1;272;8.5;9
Чувашский гос.художественный музей;21034;1290;21034;1;310;64.4;63
Новочебоксар.ист-худож.музейный комплекс;4675;1030;1562;3;293;36.8;32
Мемор.музей-квартира М.С.Спиридонова;8830;39;8830;1;310;0.5;1
Мем.компл.летч.-космонавта А.Г.Николаева;3806;2776;3620;3;360;46.2;11
Ново-Покровский музей земледелия;287;36;0;1;139;1.5;2
Дом-музей Г.И.Чиряева;381;593;0;2;247;1.5;4
Морукский музей истории наслега;1991;1872;0;1;231;0.3;1
Музей истории и культуры Тарагайского наслега;730;476;0;1;248;1.2;1
Техтюрский музей истории и этнографии наслега;2835;0;0;2;247;3.5;2
Батаринский музейный комплекс им.Ф.К.Попова;4245;1674;0;2;290;3.3;4
"Краеведческий музей ""Джесегей Огото""";453;2491;0;2;244;0.2;2
Никольский музей землепользования;1955;203;114;4;256;0.6;4
"Кердемский музейный комплекс ""Самартай""";580;123;80;6;247;2.7;4
Игринский краеведческий музей;4504;1424;0;1;280;9.2;12
Ярский историко-краеведческий музей;3314;1468;0;1;247;3;3
Ракитянский краеведческий музей;3807;866;2376;1;365;27.2;6
Ист.-краеведческий музей им.К.А.Трунова;3876;522;1053;1;191;4.1;3
Ленинградский ист.-краеведческий музей;6619;3348;0;1;306;8.6;8
Привольненская картинная галерея;1527;1031;0;1;295;3.4;6
Кропоткинский гор. краеведческий музей;5905;3212;0;1;310;31.8;14
Динской историко-краеведческий музей;9840;3231;0;1;298;10.1;10
Кущевский районный исторический музей;5039;2202;0;1;314;4.4;7
Музей истории русского платка и шали;1781;148;0;1;304;12;9
Пущинский музей экологии и краеведения;1178;13915;0;1;250;8.1;11
Музейно-выставочный центр г.Реутов;2269;409;500;1;247;7.3;12
"Муниц.музей истории усадьбы ""Щапово""";9642;1416;0;1;322;5;13
Комаричский историко-краеведческий музей;975;617;223;1;247;7.6;3
Мглинский районный краеведческий музей;1111;583;0;1;247;8.4;3
Дятьковский историко-краеведческий музей;2324;1270;0;1;254;6;5
Ист.-краеведческий музей п.Мичуринский;2478;22218;50;1;247;5.1;10
Хотынецкий районный краеведческий музей;1635;1041;0;1;247;1.7;5
Музей им.С.М.Стрелкова с.Зура;809;721;0;1;247;1.3;1
Хангаласский краев.музей им.Ксенофонтова;5294;841;2696;2;247;2.9;7
Якутский гос.литерат.музей им.Ойунского;25008;309;23900;3;295;5.3;23
Намский ист.-энтографический музей;6453;83;265;2;251;2.9;13
Мегино-Кангаласский краеведческий музей им.Р.Г.Васильева;12768;3473;351;4;308;10.7;12
Вилюйский улусный краеведческий музей им.П.Х.Староватова;7664;2339;5766;3;239;11.6;16
Зырянский музей истории и культуры народов Севера Якутии;1490;2847;0;1;260;0.7;3
Нюрбинский музей Дружбы народов;8087;2674;420;1;250;3;15
Амгинский музей истории гражданской войны в Якутии;3205;335;1000;3;254;1.5;7
Олекминский музей истории землед.Якутии;12756;1371;2172;1;247;7.5;5
"Ытык-Кельский музей-заповедник ""Татта""";7002;466;401;20;253;9.8;7
Чурапчинский музей истории и этнографии;6038;1355;283;1;201;5.3;10
Историко-краеведческий музей Черемховского района;2354;1246;16;1;235;7.1;8
Челябинский музей изоискусств;16402;958;16989;2;312;42.9;54
Ист.-краеведческий музей Волжского р-на;724;368;0;1;245;12.1;8
Музей стекла и хрусталя г.Никольска;14289;329;5280;1;314;11.9;13
Кизеловский краеведческий музей;2444;3813;2850;1;182;4.3;2
Музей истории Шалинского района;1320;840;0;1;287;5.6;5
Ирбитский гос.музей мотоциклов;4302;68;1300;3;273;25;21
"Военно-исторический центр ""Командарм-33 - М.Г.Ефремов""";200;187;0;1;247;1.8;1
Моск.гос. картинная галерея И.Глазунова;5413;1314;6079;2;314;116.3;124
Яковлевский историко-краеведческий музей;2868;1855;4723;1;252;7.4;3
Музей народного творчества с.Подсереднее;1186;777;1963;1;257;8.1;2
Белозерский районный краеведческий музей;4532;1673;0;1;247;7.1;3
Мишкинский районный историко-краеведческий музей;6952;1770;427;1;247;3.6;3
Якшур-Бодьинский краеведческий музей им.М.К.Шкляевой;3364;1292;0;1;300;4.1;4
Шарканский краеведческий музей;3700;1176;0;1;258;7.2;7
Мари-Турекский краев.музей им.В.Мосолова;1002;3224;0;1;247;8;4
Оршанский музей крестьян. труда и быта;1851;486;0;2;247;9.8;3
Сернурский музейно-выставочный комплекс им.А.Ф.Конакова;7121;4644;322;1;252;14.8;4
Новоторъяльский краеведческий музей;3417;1714;0;1;300;6;5
Дом-музей Майорова-Шкетана, д.Крещено;21;123;0;1;247;0.5;2
Мем.дом-музей Н.Мухина д.Олыкъял;196;690;0;1;247;1.7;1
Дом-музей композитора Л.Воинова;1818;0;0;1;307;0.2;1
Ардатовский краеведческий музей;15810;4695;3955;1;306;3.7;7
"Музейно-выставочный центр ""Микула""";1326;657;960;2;365;12.5;38
"Музей ""Природа"" им.С.И.Трофимова";773;807;773;1;311;13.6;3
Краснощековский краеведческий музей;2512;782;0;1;260;2.5;1
"Музей ""Город"" г.Барнаула";5025;1362;125;2;275;20.9;29
Омский музей просвещения;20021;5564;12300;3;365;65;57
Музей П.П.Семенова-Тян-Шанского;157;98;0;1;293;2.8;10
Рязанский музей путешественников;833;786;0;3;313;4.5;16
"Музей-усадьба ""Мем.комплекс М.Скобелева""";414;90;0;2;251;4.8;13
Арсеньевский ист.-краеведческий музей;3135;32;0;1;247;2.6;2
Дубенский историко-краеведческий музей;2242;2346;0;2;282;4;5
Плавский районный краеведческий музей;1450;820;1431;1;247;3.8;5
Тандинский ист.-краев.музей им.Готовцева;8497;2060;0;9;247;10.5;7
Национальный художественный музей Республики Саха (Якутия);14883;3243;13641;1;247;60.6;62
Борогонский музей истории улуса;6684;9882;5852;2;199;11.9;9
Аллаиховский музей природы тундры и охотничьего промысла им.Д.А.Лебедева;1873;59;0;2;298;4;5
Среднеколымский краеведческий музей;9986;5553;1235;1;309;4.4;6
Муз.ист.освоения юж.Якутии им.Пьянкова;64959;10393;2489;2;294;14.3;17
"Чебоксар.музей ""Бичурин и современность""";7466;3730;6400;1;304;7.9;6
Карагинский краеведческий музей,Оссора;483;186;483;1;247;1.1;3
Олюторский краеведческий музей,Тиличики;707;1;200;1;246;1.3;1
Пенжинский краеведч.музей, с.Каменское;1923;2242;2536;1;252;3;4
Вилючинский краеведческий музей;3770;12865;6650;1;300;9.7;7
Музей истории и культуры гп Малаховка;4687;4271;1910;1;259;1.9;12
Степановский краеведческий музей;2935;1941;0;1;253;1.8;4
Музей новейшей истории г.Подольска;1543;7;15;1;260;23;9
