name;base_fond;science_fond;ams;n_buildings;n_days;guests;employees
Хабаровский краевой музей им.Н.И.Гродекова;279189;156628;240612;5;306;164.7;177
Советско-Гаванский краеведческий музей;10036;4276;720;1;299;12.1;13
Амурский городской краеведческий музей;11411;3952;8900;1;234;10.5;12
Биробиджанский обл. краеведческий музей;52028;19695;0;2;352;23.7;14
Вяземский краеведческий музей им.Усенко;14691;4470;0;1;248;11;7
Дальневосточный художественный музей;15832;607;16439;2;312;94.3;97
Краеведческий музей Нанайского мун.р-на;9629;2603;0;1;309;3.6;6
К��мсомольск-на-Амуре краеведческий музей;45019;23681;18500;2;313;57.9;49
Комсомольск-на-Амуре музей изоискусств;17729;1023;17198;1;313;45.3;50
Краеведческий музей им.Розова Николаевского мун.района;52077;16623;5170;2;245;8.8;24
Межпос.Чегдомынский краеведческий музей;9699;8811;2000;1;291;6.1;8
Музей современного искусства ЕАО;1444;551;1444;2;198;4.1;6
Национальный музей Республики Адыгея;215143;105834;215143;1;310;28.6;91
Геленджикский ист.-краеведческий музей;77848;16562;0;1;363;81.6;49
Ейский историко-краеведческий музей;55782;11242;0;4;310;112.4;46
Литературно-мем.музей Н.Островскогов г.Сочи;23446;23953;980;6;320;46.8;32
Картинная галерея Республики Адыгея;1494;0;1494;1;316;14.3;9
Новороссийский исторический музей-заповедник;168652;95250;65815;7;365;150.8;90
Армавирский краеведческий музей;49321;46047;7000;2;310;45.2;19
"Гос.музей-заповедник И.С.Тургенева ""Спасское-Лутовиново""";8744;14436;8683;25;364;140.7;122
Соловецкий гос.музей-заповедник;18631;81292;99923;123;365;61.9;137
Кирилло-Белозерский музей-заповедник;44207;16398;54207;48;341;246.7;167
Гос.музей истории религии;142587;54013;181158;3;310;77.4;171
"Гос.музей-заповедник ""Петергоф""";203234;120367;115775;124;365;5300.7;1705
Всероссийский музей А.С.Пушкина;62792;94549;51321;9;301;405.3;399
"Гос.музей-заповедник ""Куликово Поле""";46117;16786;62903;71;330;129.5;321
"Гос.мем.музей-заповедник Л.Н.Толстого ""Ясная Поляна""";46405;9195;51253;78;311;214.9;468
"Гос. музей-заповедник ""Кижи""";35906;19345;46732;175;365;205.9;264
Гос.мемориальный музей Б.Ш.Окуджавы;2174;1543;2088;3;247;0.5;11
Гос.музей-заповедник М.А.Шолохова;46350;30229;57033;79;343;90.2;352
Туапсинский краеведческий музей им.Полетаева;47015;13363;0;1;353;102;20
Краснодарский художественный музей им.Ф.Коваленко;12925;924;13844;3;313;76.5;62
Крымский краеведческий музей;20878;3863;0;1;250;21.2;16
Сочинский художественный музей;4960;1506;3237;1;314;85.8;50
Мем.музей Героя Сов.Союза Х.Б.Андрухаева;1888;1744;0;3;245;9.5;8
Межпоселенческий мемориальный дом-музей поэта Ц.А.Теучежа;3006;762;0;1;250;5.3;2
Чарышский краеведческий музей;4131;2191;0;1;200;0.6;1
Волчихинский историко-краеведческий музей;11122;1235;0;2;247;6.8;3
Угловский краеведческий музей;6432;605;0;1;247;9;2
Шипуновский краеведческий музей;3962;840;0;1;247;5.6;6
Мамонтовский краеведческий музей;19492;11850;608;1;296;7;3
Назаровский музейно-выставочный центр;13750;4772;2800;1;303;27.1;11
Ачинский краеведческий музей;23092;7705;6100;4;304;39.5;23
Енисейский краеведческий музей;39868;22521;55146;3;279;12.3;27
Канский краеведческий музей;20974;16612;20974;2;300;27.5;17
Красноярский краевой краеведческий музей;343369;144303;281000;10;315;287.5;141
Минусинский краеведческий музей им.Мартьянова;151671;46844;30215;15;347;198.7;73
Хакасский нац.краеведческий музей им.Л.Р.Кызласова;99087;47610;75722;1;308;48.9;80
Таймырский краеведческий музей;35916;52448;37992;2;307;22.7;69
"Гос.музей-заповедник ""Шушенское""";64991;42690;56758;239;365;252.9;256
Музей-усадьба В.И.Сурикова;520;865;520;4;303;11.6;14
Краеведческий музей Туруханского района;1792;1515;70;3;247;3.7;6
Красноярский художественный музей им.В.И.Сурикова;10519;5322;8695;5;312;31.9;84
Красноярский музейно-выставочный центр;415;1001;415;1;293;28.6;7
"МВК ""Музей Норильска""";44513;31489;44838;6;298;56;63
Кежемский ист.-этнографический музей им.Ю.Кулаковой;12412;1368;1069;1;305;5.5;4
Тасеевский краеведческий музей;2580;1577;2550;2;299;3;5
Дивногорский городской музей;6544;3983;3100;2;247;3.8;10
Богучанский краеведческий музей;3688;394;408;1;247;7.1;6
Краснотуранский ист.-этнографический музей;11305;5782;742;1;247;3.7;6
Лесосибирский краеведческий музей;15768;6699;4140;4;293;14;14
"Игарский краеведческий комплекс ""Музей вечной мерзлоты""";8082;3360;7114;6;297;5.3;28
Приморский объединенный музей им.В.Арсеньева;432016;104992;312362;8;355;101.8;127
Спасский кра��ведческий музей;9268;15040;370;2;302;23;8
Музей истории города Дальнереченска;4431;3641;0;1;310;5.3;4
Музей истории города Партизанска;10223;5474;0;1;310;7.6;10
Музейно-выставочный центр г.Находка;29754;7996;2310;2;311;24.6;37
Приморская гос. картинная галерея;6671;1451;8122;3;364;72;59
Литературно-мемориальный музей А.А.Фадеева;22408;7127;0;2;305;7.6;7
Музейно-выставочный центр г.Дальнегорска;47559;29577;3048;1;363;17.6;14
Музей истории города Лесозаводска;12972;2902;0;1;356;3.6;6
Музейно-выставочный центр г.Железногорск;20036;67286;33907;7;328;34.8;56
"Красноярский ист.музей ""Мемориал Победы""";1527;775;1527;2;264;92.7;15
Музей истории Адлерского р-на г.Сочи;16165;3951;0;1;318;12;8
Десногорский ист.-краеведческий музей;1015;1776;108;2;301;19.7;8
Национальный музей Кабардино-Балкарской Респ.;107263;38412;12500;2;305;59;58
Музей-усадьба Марко Вовчок;990;0;0;1;252;1.9;3
Кабардино-Балкарский музей изоискусств;3167;55;449;1;276;20.1;21
Ист.-краеведческий музей Майского района;2522;118;0;1;248;3.5;3
Музейно-выставочный центр г.Серпухова;5031;410;0;2;304;38.6;23
Омский музей театрального искусства;8290;1386;1738;1;247;66.7;6
Дом-музей Германа Брахерта;758;477;758;1;358;3.9;10
Гусевский историко-краеведческий музей им.А.М.Иванова;13584;2569;9210;1;358;18.7;22
"Городской историко-археологический музей ""Рантава""";3058;243;607;1;303;3.3;4
Карельский нац.краеведческий музей;2913;2810;413;1;247;6.7;4
Конаковский краеведческий музей;6618;3466;59;1;247;7;8
Борский краеведческий музей;11459;5943;3690;1;320;10.4;6
Нижегородский ист.-архитектурный музей-заповедник;279349;59318;29660;3;315;54.7;112
Гос.биологический музей им.Тимирязева;58568;34329;92897;6;305;96.3;69
"Музей-панорама ""Бородинская битва""";32850;10306;43156;5;300;194.9;63
Государственный Дарвиновский музей;262294;137642;231455;3;305;647.2;200
"МО ""Музей Москвы""";453744;328953;674022;25;309;760.4;318
Балашовский краеведческий музей;38004;16056;10941;2;298;30.6;21
Пугачевский краеведческий музей;30918;7837;467;1;302;21;11
Петровский краеведческий музей;25609;9525;19103;2;311;13.1;8
Хвалынский краеведческий музей;23589;6940;2285;2;247;10.8;14
Музей истории г.Балаково;7280;1988;124;1;310;17.1;9
Энгельсский краеведческий музей;41151;39006;61250;1;316;72.1;44
Мемориальный дом-музей В.И.Чапаева;5331;2440;35;2;268;19.8;4
Мемориальный дом-музей В.И.Чапаева;2897;2899;133;2;315;7;5
Музей-усадьба Н.Г.Чернышевского;30944;23959;12762;6;308;92.2;45
Государственный музей К.А.Федина;62612;18482;48629;1;308;38.7;67
Аткарский краеведческий музей;6638;1507;84;1;309;3.2;6
Аркадакский краеведческий музей;6735;2437;99;1;310;2.1;5
Калининский ист.-краеведческий музей;11232;1067;117;1;307;5.8;5
Самойловский краеведческий музей;10523;1993;95;1;304;2.6;8
Курильский краеведческий музей;5158;990;2250;1;253;3.1;2
Сахалинский обл. краеведческий музей;194176;24578;148866;4;314;88.8;94
Охинский краеведческий музей;10457;3800;9111;2;308;13.9;11
Национальный музей Республики Калмыкия им.Н.Н.Пальмова;50122;30169;12251;2;321;42;87
Крутинский историко-краеведческий музей;4896;1448;3513;1;281;9;3
