,atl hip hop,australian pop,big room,boy band,brostep,canadian hip hop,canadian pop,country rap,dance pop,dfw rap,edm,electropop,escape room,latin,panamanian pop,pop,pop house,r&b en espanol,reggaeton,reggaeton flow,trap music,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9999999999999991,0.6538136478623291,0.19030456126621953,0.625,0.9746358687061647,0.26375539900280087,0.6979907832805274,0.8806452970211369,0.8352117117353419,0.8938666347658515
11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.19239935919323958,0.7878047212504726,0.7916349583951408,0.75,0.6826061944859854,0.45593875550555596,0.30790779580336647,0.5602298045113945,0.19895473177119,0.5131083933953029
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4076204172294986,0.2449940100324386,0.0,0.5,0.4898961024049784,0.5385249126336665,0.2886372784776259,1.0,0.0,0.6234291581884897
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9999999999999991,0.893348294998892,0.5446665076871393,1.0,0.11328275255937847,0.8437248309920894,0.8942206594485094,0.21484291551350546,0.5966428862100923,0.5684272865646491
14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2726689474815709,0.44116913841835714,0.8182202592689038,0.75,0.5439593106327716,0.0,0.43257210153305126,0.2822723175348959,0.10974777891446069,0.8403719735128661
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.14220557894665387,0.33701688386669915,0.45899060470115893,0.375,0.7227062322935722,0.08799123069382686,0.7523768003591442,0.3216736159093698,0.46617973541156293,0.2885491938226128
16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9999999999999991,0.7005246425886402,0.6008088606214037,0.5,0.4898961024049784,0.5156279536892002,0.653697051193121,0.37505066176837665,0.8546106881358386,0.7325032405928162
17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.09036581075225492,0.4008152853830511,0.628599303319096,0.5,0.20906195512216752,0.9685015103502882,0.12837020438302105,0.8463576718889472,0.10974777891446069,0.78658578174438
18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6717281274667659,0.195557102653932,0.8446458843328828,0.25,0.6397385131955606,0.593633570830637,0.14903981227844199,0.42330719987868326,0.23873167987733385,0.6234291581884897
19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9801133065801677,0.6538136478623291,0.5163069052242872,0.875,0.5439593106327716,0.49219202144695773,0.22985251751664704,0.30242140520542105,0.34503482323885776,0.78658578174438
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5970226735705255,0.8287153369736111,0.40084948202179893,0.375,0.20906195512216752,0.7251825003593314,0.09347985113683599,0.1305439734843836,0.0,0.78658578174438
21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9395733602037488,0.6047854781890938,0.45899060470115893,0.5,0.5439593106327716,0.5719365217635094,0.0,0.6306516560650176,0.23873167987733385,0.78658578174438
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.12511383106387264,0.893348294998892,0.7648870517444499,0.75,0.3652123889719707,0.6763587456743797,1.0,0.3579068492022818,0.19895473177119,0.34519330176224017
23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.12511383106387264,0.8807553587625132,0.7379735186326362,0.75,1.0,0.8781197659227119,0.7791790413030779,0.6527198674219179,0.05834489474886351,0.78658578174438
